id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,63047.0,1264564291227,1,1264564858651,23464429984.0,64753.0,62639.0,-1066.0491967898852,-1.66278,-21342391248.924316,-1.65972,20057431.0,20057440.0,21000000.0,126080.0,-49.99477,2025-10-06T18:57:42.558Z,67.81,92876.64287,2013-07-06T00:00:00.000Z,,2026-07-17T10:09:27.248Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1836.42,221643845934,2,221643845934,10503683542.0,1889.35,1821.16,-49.710134614085746,-2.63556,-5979464093.681732,-2.62691,120682873.2112472,120682873.2112472,,4946.05,-62.87087,2025-08-24T19:21:03.333Z,0.432979,424037.31656,2015-10-20T00:00:00.000Z,"{'times': 37.94375000052498, 'currency': 'btc', 'percentage': 3794.3750000524974}",2026-07-17T10:09:27.104Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999027,184025328744,3,189486944334,40253640002.0,0.999355,0.998976,-0.000118530620806356,-0.01186,-174705836.67019653,-0.09485,184204791268.6909,189671733057.0762,,1.32,-24.49463,2018-07-24T00:00:00.000Z,0.572521,74.49282,2015-03-02T00:00:00.000Z,,2026-07-17T10:09:10.528Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,564.71,75201835654,4,75201835654,578526713.0,580.08,562.62,-12.599165310106514,-2.18239,-1676216708.1329956,-2.18036,133166054.97,133166054.97,200000000.0,1369.99,-58.77996,2025-10-13T08:41:24.131Z,0.0398177,1418141.48902,2017-10-19T00:00:00.000Z,,2026-07-17T10:09:27.520Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999997,73196859686,5,73199437456,10537148614.0,1.0,0.999788,9.445e-05,0.00945,108667157.0,0.14868,73196416250.0575,73198994004.07745,,1.043,-4.17582,2018-11-15T00:00:00.000Z,0.877647,13.9287,2023-03-11T08:02:13.981Z,,2026-07-17T10:09:18.872Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.086,67824843529,6,108562348866,1028643950.0,1.12,1.079,-0.018598893451818865,-1.68396,-1232695345.6516953,-1.78503,62466503703.0,99985639695.0,100000000000.0,3.65,-70.22038,2025-07-18T03:40:53.808Z,0.00268621,40324.1922,2014-05-22T00:00:00.000Z,,2026-07-17T10:09:28.193Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,74.67,43494524538,7,47076157261,1519107260.0,76.66,74.21,-1.3176310432141918,-1.73397,-809131806.8338852,-1.82633,582517241.9734097,630485643.4648248,,293.31,-74.54186,2025-01-19T11:15:27.957Z,0.500801,14810.46313,2020-05-11T19:35:23.449Z,,2026-07-17T10:09:21.683Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/photo_2026-04-13_09-59-16.png?1776048311,0.321924,30539614636,8,30539617788,326832499.0,0.323549,0.321448,-0.00115499996081514,-0.3575,-115269005.90315628,-0.37602,94869413772.0553,94869423563.5615,,0.431288,-25.35759,2024-12-04T00:10:40.323Z,0.00180434,17741.63326,2017-11-12T00:00:00.000Z,"{'times': 168.4336933017501, 'currency': 'usd', 'percentage': 16843.36933017501}",2026-07-17T10:09:26.946Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.02,20432992423,9,20432992423,23595779.0,1.037,1.002,-0.017467600000000028,-1.68447,-286394628.4786072,-1.38225,20041924373.238,20041924373.238,,1.049,-2.822,2026-03-09T17:00:25.937Z,0.155357,556.24022,2025-10-31T14:27:24.456Z,,2026-07-17T08:33:07.569Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,60.57,13471351281,10,57853563519,637984082.0,66.01,58.61,-5.289415964009585,-8.03186,-1210533963.623684,-8.24509,222445714.0741414,955307079.4341414,1000000000.0,76.7,-21.0383,2026-06-16T13:02:04.375Z,3.81,1490.18577,2024-11-29T09:30:30.871Z,,2026-07-17T10:09:13.758Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.07179,11134427536,11,12262301415,406668755.0,0.073791,0.071182,-0.001276264614960471,-1.74672,-213295638.2531147,-1.87963,155106066383.7052,170817703126.579,,0.731578,-90.18698,2021-05-08T05:08:23.458Z,8.69e-05,82508.51565,2015-05-06T00:00:00.000Z,,2026-07-17T10:09:13.397Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999828,10002870998,12,10002870998,122118381.0,0.999958,0.99971,7.165e-05,0.00717,31826167.0,0.31919,10004561753.82223,10004561753.82223,,1.15,-13.21648,2026-04-02T07:21:14.655Z,0.948265,5.43708,2024-10-03T13:19:28.826Z,,2026-07-17T10:09:21.639Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.01428382,9447758372,13,16413529019,26264983.0,0.01482878,0.01383212,-3.9212772273643e-05,-0.27377,-31382308.43770218,-0.33107,661855194221.2073,1149836713526.556,1150000000000.0,0.01614328,-11.57256,2026-06-22T20:10:11.458Z,0.00222126,542.65744,2025-09-14T08:56:57.416Z,,2026-07-17T10:09:18.899Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.8,9014742084,14,9652089538,233613.0,9.84,9.76,-0.015026659877003468,-0.15315,-13923659.148757935,-0.15422,920182099.9,985239504.0,,10.57,-7.31312,2026-05-04T09:45:26.809Z,0.799859,1124.79737,2019-12-24T15:14:35.376Z,,2026-07-17T10:09:25.639Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,534.55,8972800940,15,8973633403,452507055.0,558.87,525.31,-11.007681072562264,-2.0177,-188052232.2442665,-2.05278,16791065.7905448,16792623.6030448,21000000.0,3191.93,-83.25311,2016-10-29T00:00:00.000Z,16.08,3224.28124,2024-07-05T04:22:29.321Z,,2026-07-17T10:09:22.368Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,55.08,6496800776,16,16184575027,81246873.0,56.58,54.73,-1.000488569084176,-1.78417,-118019428.48663902,-1.78417,117961796.0,293861795.0,400000000.0,64.11,-14.19297,2025-12-10T20:16:13.582Z,3.06,1696.62744,2023-02-13T19:01:21.899Z,,2026-07-17T10:09:10.002Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.183838,6282432217,17,9188417668,199347862.0,0.192086,0.1819,-0.00523344136215631,-2.76798,-188106597.08558178,-2.90712,34187914384.16135,50001786839.91257,,0.875563,-79.04554,2018-01-03T00:00:00.000Z,0.00047612,38434.0227,2015-03-05T00:00:00.000Z,,2026-07-17T10:09:25.258Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,8.21,6141691810,18,8209720696,214823659.0,8.48,8.13,-0.19684407599240927,-2.34126,-156658661.57068062,-2.4873,748099970.424884,1000000000.0,1000000000.0,52.7,-84.41873,2021-05-10T00:13:57.214Z,0.148183,5440.97846,2017-11-29T00:00:00.000Z,,2026-07-17T10:09:21.248Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,323.43,6060940506,19,6060940506,93005408.0,337.89,322.8,-8.041521280635038,-2.42604,-164215804.73335266,-2.63794,18779030.78531206,18779030.78531206,,797.73,-59.457,2026-01-14T19:34:07.049Z,0.216177,149511.70856,2015-01-14T00:00:00.000Z,,2026-07-17T10:09:19.019Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.161141,6007009428,20,7250693156,230444135.0,0.164812,0.158124,-0.000595011239976545,-0.36789,-29884910.96202469,-0.49504,37281321720.55408,45000000000.0,45000000000.0,3.09,-94.77988,2021-09-02T06:00:10.474Z,0.01925275,736.97465,2020-03-13T02:22:55.044Z,,2026-07-17T10:09:21.762Z
